Filename, Average interval, Maximum Interval, Minimum Interval, Repeated Notes
JazzLicks100EpochNoHot_Gen20-5-12-96_0_1464985640842.ls, 2.6666667, 7.0, 1.0, 0.0
JazzLicks100EpochNoHot_Gen20-5-12-96_10_1464985640842.ls, 2.5384614, 7.0, 0.0, 3.0
JazzLicks100EpochNoHot_Gen20-5-12-96_11_1464985640842.ls, 2.9230769, 7.0, 0.0, 4.0
JazzLicks100EpochNoHot_Gen20-5-12-96_12_1464985640842.ls, 4.090909, 10.0, 0.0, 3.0
JazzLicks100EpochNoHot_Gen20-5-12-96_13_1464985640842.ls, 2.0, 7.0, 0.0, 4.0
JazzLicks100EpochNoHot_Gen20-5-12-96_14_1464985640842.ls, 3.8461537, 12.0, 0.0, 3.0
JazzLicks100EpochNoHot_Gen20-5-12-96_15_1464985640842.ls, 1.9090909, 9.0, 0.0, 5.0
JazzLicks100EpochNoHot_Gen20-5-12-96_16_1464985640842.ls, 3.642857, 9.0, 0.0, 4.0
JazzLicks100EpochNoHot_Gen20-5-12-96_17_1464985640842.ls, 3.6363637, 9.0, 0.0, 3.0
JazzLicks100EpochNoHot_Gen20-5-12-96_18_1464985640842.ls, 1.3333334, 5.0, 0.0, 4.0
JazzLicks100EpochNoHot_Gen20-5-12-96_19_1464985640842.ls, 7.0, 21.0, 2.0, 0.0
JazzLicks100EpochNoHot_Gen20-5-12-96_1_1464985640842.ls, 2.7272727, 12.0, 0.0, 5.0
JazzLicks100EpochNoHot_Gen20-5-12-96_2_1464985640842.ls, 5.1, 12.0, 0.0, 2.0
JazzLicks100EpochNoHot_Gen20-5-12-96_3_1464985640842.ls, 3.8333333, 9.0, 0.0, 2.0
JazzLicks100EpochNoHot_Gen20-5-12-96_4_1464985640842.ls, 4.0666666, 9.0, 0.0, 2.0
JazzLicks100EpochNoHot_Gen20-5-12-96_5_1464985640842.ls, 3.5384614, 9.0, 0.0, 2.0
JazzLicks100EpochNoHot_Gen20-5-12-96_6_1464985640842.ls, 4.733333, 14.0, 0.0, 5.0
JazzLicks100EpochNoHot_Gen20-5-12-96_7_1464985640842.ls, 3.6923077, 7.0, 0.0, 1.0
JazzLicks100EpochNoHot_Gen20-5-12-96_8_1464985640842.ls, 2.6666667, 6.0, 0.0, 3.0
JazzLicks100EpochNoHot_Gen20-5-12-96_9_1464985640842.ls, 4.214286, 19.0, 0.0, 1.0
