Filename, Average interval, Maximum Interval, Minimum Interval, Repeated Notes
40EpochGen_0_1465317519857.ls, 3.25, 9.0, 0.0, 3.0
40EpochGen_1_1465317519857.ls, 4.6666665, 19.0, 0.0, 2.0
40EpochGen_2_1465317519857.ls, 3.357143, 9.0, 0.0, 2.0
40EpochGen_3_1465317519857.ls, 2.1818182, 5.0, 0.0, 4.0
40EpochGen_4_1465317519857.ls, 3.7333333, 8.0, 0.0, 4.0
40EpochGen_5_1465317519857.ls, 5.5833335, 11.0, 0.0, 1.0
40EpochGen_6_1465317519857.ls, 5.4166665, 9.0, 0.0, 1.0
40EpochGen_7_1465317519857.ls, 3.8, 9.0, 0.0, 3.0
40EpochGen_8_1465317519857.ls, 3.6153846, 10.0, 0.0, 3.0
40EpochGen_9_1465317519857.ls, 4.4, 9.0, 0.0, 2.0
